"","x"
"1","ABCB6"
"2","ATP5F1A"
"3","BCL2A1"
"4","CBR4"
"5","CDKN2A"
"6","CHMP7"
"7","COX18"
"8","DDB2"
"9","DDX27"
"10","FAH"
"11","FAS"
"12","GGT7"
"13","H4C14"
"14","ITGB7"
"15","JAK2"
"16","LTA"
"17","LYN"
"18","MCUR1"
"19","ME2"
"20","OSER1"
"21","PGAM1"
"22","PGGT1B"
"23","PLEKHB1"
"24","PPP1R3D"
"25","PREPL"
"26","RELL2"
"27","SCNN1A"
"28","SCO1"
"29","TNFSF9"
"30","TP53I13"
"31","TTC30A"
"32","YBEY"
"33","CLDN3"
"34","F12"
"35","HSD17B12"
"36","HYLS1"
"37","MLYCD"
"38","NMNAT3"
"39","SLC6A8"
"40","C22orf15"
"41","CKS1B"
"42","DENND2A"
"43","GMNN"
"44","LCNL1"
"45","MOB3A"
"46","NFE2L3"
"47","PARD6B"
"48","ST7L"
"49","STIL"
"50","STIP1"
"51","KNOP1"
"52","MLH1"
"53","NCK2"
"54","POU2F1"
"55","SLC35A1"
"56","SMAP1"
"57","TXNDC9"
